1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country_x,place_slug,iata_code,city,country_y,rank,overall_score,cost_score,internet_score,like_score,temperature_c,temperature_f,feels_like_c,feels_like_f,internet_speed_mbps,monthly_cost_usd,monthly_cost_cents,image_url
296.0,2.0,36.0,1983.0,1.817074642855817,1.25,2.41,3.0,1141.0,527.0,4.0,1.0,3.0,2.0,1.0,1.0,26.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,4.33,Europe,Bulgaria,burgas,BOJ,burgas,Bulgaria,65,2.92,3.4811428571428573,2.0857142857142854,5.0,15.0,59.0,15.0,59.0,24.0,2829.0,2829,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/burgas-bulgaria.jpg?1705536223"
301.0,2.0,55.0,1403.0,2.0,1.13,1.55,3.0,978.0,480.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,3.52,Africa,South Africa,durban,DUR,durban,South Africa,80,2.89,4.517714285714286,1.2285714285714286,5.0,18.0,64.0,18.0,64.0,9.0,1922.0,1922,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/durban-south-africa.jpg?1709683341"
196.0,2.0,31.0,1037.0,3.0,0.95,0.84,2.0,665.0,310.0,2.0,2.0,4.0,2.0,2.0,1.936705670369141,34.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.07,Europe,Serbia,nis,INI,nis,Serbia,31,3.02,4.731428571428571,3.7857142857142856,5.0,21.0,70.0,21.0,70.0,53.0,1735.0,1735,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/nis-serbia.jpg?1709683320"
496.0,2.0,18.0,1342.0,1.0,2.33,3.06,2.0,1436.0,868.0,4.0,3.0,3.0,2.0,3.0,3.0,35.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.26,Europe,Germany,aachen,AAH,aachen,Germany,50,2.95,3.2,2.257142857142857,5.0,21.0,70.0,21.0,70.0,27.0,3075.0,3075,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/aachen-germany.jpg?1733356819"
760.0,2.0,19.0,2074.0,2.0,1.64,3.43,1.0,1927.0,1256.0,3.0,2.0,4.0,2.0,3.0,3.0,23.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,3.99,North America,United States,columbus oh,CMH,columbus oh,United States,77,2.8999999999999995,2.7234285714285718,5.0,5.0,25.0,77.0,25.0,77.0,89.0,3492.0,3492,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/columbus-oh-united-states.jpg?1745366446"
210.0,2.0,45.0,1281.0,1.0,0.23,0.7,3.0,580.0,258.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,3.0,4.0,4.02,Asia,Indonesia,sanur bali,DPS,sanur bali,Indonesia,85,2.88,5.0,1.2428571428571429,5.0,31.0,88.0,31.0,88.0,9.0,984.0,984,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/sanur-bali-indonesia.jpg?1705449766"
534.0,2.0,41.0,824.0,3.0,1.33,4.31,3.0,1088.0,888.0,3.0,2.0,3.0,2.0,2.0,3.0,29.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,4.56,Asia,South Korea,daejeon,CJJ,daejeon,South Korea,43,2.97,4.729142857142857,2.742857142857143,5.0,15.0,59.0,15.0,59.0,35.0,1737.0,1737,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/daejeon-south-korea.jpg?1740182424"
317.0,2.0,18.0,1373.0,3.0,0.57,1.18,3.0,787.0,428.0,2.0,2.0,3.0,1.0,2.0,3.0,11.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,4.0,4.0,4.27,Europe,Croatia,rijeka,RJK,rijeka,Croatia,33,3.01,4.602285714285714,1.6,5.0,20.0,68.0,20.0,68.0,15.0,1848.0,1848,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/rijeka-croatia.jpg?1705622435"
554.0,2.0,61.0,2745.0,1.9353413280971408,1.86,2.72,2.0,1807.0,869.0,1.0,2.0,3.0,2.0,2.39581918352541,2.4776203338350444,22.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,1.0,3.8,Latin America,Aruba,oranjestad,AUA,oranjestad,Aruba,37,2.9900000000000007,3.0662857142857143,1.8571428571428568,5.0,32.0,90.0,32.0,90.0,20.0,3192.0,3192,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/oranjestad-aruba.jpg?1722038447"
181.0,2.0,90.0,1068.0,1.992531505514304,0.4,0.45,3.0,544.0,240.0,2.0,1.0,3.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,1.532925782744135,1.0,0.0,2.0,2.0,3.0,4.0,3.78,Africa,Tunisia,tunis,TUN,tunis,Tunisia,96,2.87,4.497142857142857,1.0285714285714285,5.0,26.0,79.0,26.0,79.0,5.0,1940.0,1940,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/tunis-tunisia.jpg?1705536319"
138.0,2.0,167.0,1312.0,1.519644365587124,0.33,0.69,3.0,574.0,213.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0769432023467795,0.0,0.0,2.0,1.0,4.0,1.0,3.28,Asia,Uzbekistan,tashkent,TAS,tashkent,Uzbekistan,83,2.89,5.0,1.0,5.0,28.0,82.0,28.0,82.0,5.0,949.0,949,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/tashkent-uzbekistan.jpg?1721001881"
188.0,2.0,33.0,1373.0,3.0,0.68,1.07,3.0,798.0,337.0,3.0,2.0,2.0,2.0,2.0,2.7056740380379645,29.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,3.0,4.0,4.0,4.0,4.36,Europe,Serbia,novi sad,QND,novi sad,Serbia,55,2.94,3.947428571428572,2.178571428571429,5.0,25.0,77.0,25.0,77.0,25.0,2421.0,2421,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/novi-sad-serbia.jpg?1709769768"
384.0,2.0,29.0,610.0,2.0,0.86,1.54,3.0,760.0,531.0,3.0,2.0,2.0,2.0,2.0,3.0,42.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,3.88,Europe,Poland,lublin,LUZ,lublin,Poland,45,2.96,4.156571428571429,2.242857142857143,5.0,19.0,66.0,19.0,66.0,26.0,2238.0,2238,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/lublin-poland.jpg?1710115364"
223.0,2.0,65.0,641.0,2.0,0.88,1.35,3.0,617.0,374.0,2.0,1.0,2.0,1.0,3.0,1.0,11.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,3.04,Latin America,Brazil,goiania,GYN,goiania,Brazil,66,2.92,5.0,1.3785714285714286,5.0,30.0,86.0,30.0,86.0,11.0,1275.0,1275,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/goiania-brazil.jpg?1725062449"
673.0,2.0,20.0,1037.0,2.0,1.18,3.58,2.0,1391.0,1051.0,3.0,2.0,2.0,2.0,2.0,4.0,15.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,2.86,Asia,Japan,naha okinawa,OKA,naha okinawa,Japan,28,3.03,3.905142857142857,2.314285714285714,5.0,22.0,72.0,22.0,72.0,28.0,2458.0,2458,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/naha-okinawa-japan.jpg?1706054508"
273.0,2.0,28.0,915.0,3.0,1.16,1.58,3.0,766.0,443.0,3.0,2.0,3.0,3.0,2.0,2.0,51.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,4.55,Europe,Romania,timisoara,TSR,timisoara,Romania,14,3.17,4.524571428571429,2.9714285714285715,5.0,22.0,72.0,22.0,72.0,39.0,1916.0,1916,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/timisoara-romania.jpg?1705881688"
441.0,2.0,17.0,1220.0,3.0,1.22,0.89,3.0,1077.0,570.0,4.0,3.0,3.0,2.0,2.0,4.0,43.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.37,Europe,Portugal,coimbra,CBP,coimbra,Portugal,48,2.95,2.482285714285714,2.0357142857142856,5.0,18.0,64.0,18.0,64.0,23.0,3703.0,3703,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/coimbra-portugal.jpg?1719964876"
239.0,2.0,51.0,1830.0,2.252309389553348,0.84,1.43,3.0,936.0,395.0,3.0,1.0,3.0,3.0,1.0,1.0,20.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,4.33,Europe,Bulgaria,varna,VAR,varna,Bulgaria,56,2.94,4.150857142857143,2.0857142857142854,5.0,15.0,59.0,15.0,59.0,24.0,2243.0,2243,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/varna-bulgaria.jpg?1705449751"
758.0,2.0,14.0,1739.0,2.0,1.71,3.88,2.0,1701.0,1120.0,2.8887836149917265,2.0,3.0,1.0,3.0,3.0,36.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.32,North America,United States,ogden ut,OGD,ogden ut,United States,86,2.88,3.3817142857142857,5.0,5.0,19.0,66.0,19.0,66.0,120.0,2916.0,2916,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/ogden-ut-united-states.jpg?1705449815"
217.0,2.0,21.0,1068.0,1.0,0.59,0.62,3.0,593.0,299.0,1.0,1.0,3.0,3.0,3.0,3.0,8.0,2.0,1.0,2.0,3.0,1.44867050361242,0.0,0.0,3.0,3.0,1.0,4.0,3.79,Asia,Malaysia,kota kinabalu,ZWR,kota kinabalu,Malaysia,93,2.87,5.0,1.7071428571428573,5.0,32.0,90.0,32.0,90.0,17.0,1432.0,1432,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/kota-kinabalu-malaysia.jpg?1705795317"
